"Record ID","Catalog Number","Match Taxon Concept GUID","Scientific Name","Vernacular Name","Matched Scientific Name","Taxon Rank - matched","Vernacular Name - matched","Kingdom - matched","Phylum - matched","Class - matched","Order - matched","Family - matched","Genus - matched","Species - matched","Subspecies - matched","Institution Code","Collection Code","locality","Latitude - original","Longitude - original","geodetic Datum","Latitude - processed","Longitude - processed","Coordinate Uncertainty in Metres - parsed","Country - parsed","IBRA 7 Regions","IMCRA 4 Regions","State - parsed","Local Government Areas","Minimum Elevation In Metres","Maximum Elevation In Metres","Minimum Depth In Meters","Maximum Depth In Meters","Collector","Year - parsed","Month - parsed","Event Date - parsed","Basis Of Record - original","Basis Of Record - processed","Sex","Outlier for layer","Taxon identification issue","Location Quality","Data Resource ID","Data Resource Name","record _ number"
"28acced8-5dda-494e-a8df-456590e3c6ad","","urn:lsid:biodiversity.org.au:afd.taxon:dfa14228-4f24-48be-b5e6-f91db5ddbbe1","Dugong dugon","dugong","Dugong dugon","species","Dugong","Animalia","Chordata","Mammalia","Sirenia","Dugongidae","Dugong","Dugong dugon","","Queensland Parks and Wildlife Service","","Upstart Bay","-19.7218","147.6023","","-19.7218","147.6023","1000.0","Australia","","","Queensland","","","","","","","2000","02","2000-02-13","","","","","noIssue","true","dr1132","WildNet - Queensland Wildlife Data",""
"b57ec477-5028-423c-a929-956cd03a048b","","urn:lsid:biodiversity.org.au:afd.taxon:dfa14228-4f24-48be-b5e6-f91db5ddbbe1","Dugong dugon","dugong","Dugong dugon","species","Dugong","Animalia","Chordata","Mammalia","Sirenia","Dugongidae","Dugong","Dugong dugon","","Queensland Parks and Wildlife Service","","Coral Sea Point, Coral Sea Resort","-20.2634","148.7151","","-20.2634","148.7151","300.0","Australia","","","Queensland","","","","","","","2002","02","2002-02-22","","","","","noIssue","false","dr1132","WildNet - Queensland Wildlife Data",""
"cbae95c9-b394-4622-a53c-2d3a2bad53b0","","urn:lsid:biodiversity.org.au:afd.taxon:dfa14228-4f24-48be-b5e6-f91db5ddbbe1","Dugong dugon","dugong","Dugong dugon","species","Dugong","Animalia","Chordata","Mammalia","Sirenia","Dugongidae","Dugong","Dugong dugon","","Queensland Parks and Wildlife Service","","Abel Point Marina, inner wall marina","-20.2727","148.6995","","-20.2727","148.6995","500.0","Australia","","","Queensland","","","","","","","2002","02","2002-02-21","","","","","noIssue","true","dr1132","WildNet - Queensland Wildlife Data",""
"f2fc32ca-4ceb-4496-95c1-fc5963ca3c98","","urn:lsid:biodiversity.org.au:afd.taxon:dfa14228-4f24-48be-b5e6-f91db5ddbbe1","Dugong dugon","dugong","Dugong dugon","species","Dugong","Animalia","Chordata","Mammalia","Sirenia","Dugongidae","Dugong","Dugong dugon","","Queensland Parks and Wildlife Service","","Chain Bank (MBMP, CZ)","-27.4056833333","153.3366833333","","-27.4056833333","153.3366833333","1100.0","Australia","","","Queensland","","","","","","","2007","02","2007-02-11","","","","","noIssue","true","dr1132","WildNet - Queensland Wildlife Data",""
"0c61362a-6a44-46da-a911-d96a3ddf2637","","urn:lsid:biodiversity.org.au:afd.taxon:dfa14228-4f24-48be-b5e6-f91db5ddbbe1","Dugong dugon","dugong","Dugong dugon","species","Dugong","Animalia","Chordata","Mammalia","Sirenia","Dugongidae","Dugong","Dugong dugon","","Queensland Parks and Wildlife Service","","Entrance to Manly Boat Harbour","-27.4515","153.1919","","-27.4515","153.1919","100.0","Australia","","","Queensland","","","","","","","2009","02","2009-02-14","","","","","noIssue","true","dr1132","WildNet - Queensland Wildlife Data",""
"b6eca681-8d85-4740-9c30-3e86eff6feee","","urn:lsid:biodiversity.org.au:afd.taxon:dfa14228-4f24-48be-b5e6-f91db5ddbbe1","Dugong dugon","dugong","Dugong dugon","species","Dugong","Animalia","Chordata","Mammalia","Sirenia","Dugongidae","Dugong","Dugong dugon","","Queensland Parks and Wildlife Service","","North of Cucumber Point, Peel Is. (MBMP,PZ)","-27.4783333333","153.3583333333","","-27.4783333333","153.3583333333","50.0","Australia","","","Queensland","","","","","","","2003","02","2003-02-19","","","","","noIssue","true","dr1132","WildNet - Queensland Wildlife Data",""
"a37052fd-23e5-4eba-ae32-e013c2c87893","","urn:lsid:biodiversity.org.au:afd.taxon:dfa14228-4f24-48be-b5e6-f91db5ddbbe1","Dugong dugon","dugong","Dugong dugon","species","Dugong","Animalia","Chordata","Mammalia","Sirenia","Dugongidae","Dugong","Dugong dugon","","Queensland Parks and Wildlife Service","","NE Peel Is (MBMP,PZ)","-27.47","153.35","","-27.47","153.35","50.0","Australia","","","Queensland","","","","","","","2003","02","2003-02-19","","","","","noIssue","true","dr1132","WildNet - Queensland Wildlife Data",""
"fb61800a-376d-47a2-9299-e45e220bc728","","urn:lsid:biodiversity.org.au:afd.taxon:dfa14228-4f24-48be-b5e6-f91db5ddbbe1","Dugong dugon","dugong","Dugong dugon","species","Dugong","Animalia","Chordata","Mammalia","Sirenia","Dugongidae","Dugong","Dugong dugon","","Queensland Parks and Wildlife Service","","Browns Bay - west Russell Island (MBMP,HZ)","-27.6755","153.3633166666","","-27.6755","153.3633166666","50.0","Australia","","","Queensland","","","","","","","2005","02","2005-02-22","","","","","noIssue","true","dr1132","WildNet - Queensland Wildlife Data",""
"35aeb0d3-2fd3-43f4-9ad7-7c98bcca77a7","","urn:lsid:biodiversity.org.au:afd.taxon:dfa14228-4f24-48be-b5e6-f91db5ddbbe1","Dugong dugon","dugong","Dugong dugon","species","Dugong","Animalia","Chordata","Mammalia","Sirenia","Dugongidae","Dugong","Dugong dugon","","Queensland Parks and Wildlife Service","","Karragarra W Main channel towards yellow beacon (MBMP,HZ)","-27.6372833333","153.3577166666","","-27.6372833333","153.3577166666","50.0","Australia","","","Queensland","","","","","","","2005","02","2005-02-05","","","","","noIssue","true","dr1132","WildNet - Queensland Wildlife Data",""
"e4c0aff4-152b-4163-ab66-4e1c231ad395","","urn:lsid:biodiversity.org.au:afd.taxon:dfa14228-4f24-48be-b5e6-f91db5ddbbe1","Dugong dugon","dugong","Dugong dugon","species","Dugong","Animalia","Chordata","Mammalia","Sirenia","Dugongidae","Dugong","Dugong dugon","","Queensland Parks and Wildlife Service","","Little Boats Passage - near Chain Banks sth of Rous Channel (MBMP,CZ)","-27.4356","153.3262333333","","-27.4356","153.3262333333","100.0","Australia","","","Queensland","","","","","","","2005","02","2005-02-18","","","","","noIssue","true","dr1132","WildNet - Queensland Wildlife Data",""
