"Id","Taxon ID","Scientific Name","Common Name","Quantity","Sampling Method","Latitude","Longitude","Location Description","Habitat","Coord Uncertainty m ","Date ","Date to ","Observer name","Organisation Name","Observer Notes","Dataset","Dataset Abstract","Original Datasource","Datasource Abstract","TWPCA","TWPCA Notes","EPBCA","EPBCA Notes","EPBCA Migratory Species","Threatened Species","Significant Species","Introduced Status","Introduced Status Text","Sensitive Status"
"187540",10625,"Dugong dugon","Dugong",,,-12.2333333343267,131.016666667536,,,,1999-05-21 00:00:00.0,,"Chatto, Ray E",,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187541",10625,"Dugong dugon","Dugong",,,-12.19692603,130.99287852,,,,1992-03-16 00:00:00.0,,"Chatto, Ray E",,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187542",10625,"Dugong dugon","Dugong",,,-12.12566,132.49966,,,,1996-01-15 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187543",10625,"Dugong dugon","Dugong",,,-12.05533,131.3475,,,,1996-01-11 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187544",10625,"Dugong dugon","Dugong",,,-12.02016,132.59666,,,,1996-01-15 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187545",10625,"Dugong dugon","Dugong",,,-12.01616,134.40083,,,,1995-11-28 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187546",10625,"Dugong dugon","Dugong",,,-11.95383,130.6545,,,,1996-01-09 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187547",10625,"Dugong dugon","Dugong",,,-11.9415,130.65633,,,,1996-01-09 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187548",10625,"Dugong dugon","Dugong",,,-11.922,132.45166,,,,1996-01-15 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187549",10625,"Dugong dugon","Dugong",,,-11.89666,132.59916,,,,1996-01-15 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187550",10625,"Dugong dugon","Dugong",,,-11.8435,134.24983,,,,1995-11-28 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187551",10625,"Dugong dugon","Dugong",,,-11.82583,134.15,,,,1995-11-28 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187552",10625,"Dugong dugon","Dugong",,,-11.82016,130.70016,,,,1996-01-10 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187553",10625,"Dugong dugon","Dugong",,,-11.78583,133.64816,,,,1995-11-28 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187554",10625,"Dugong dugon","Dugong",,,-11.75283,132.55116,,,,1996-01-15 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187555",10625,"Dugong dugon","Dugong",,,-11.7295,134.248,,,,1995-11-28 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187556",10625,"Dugong dugon","Dugong",,,-11.71566,132.20016,,,,1996-01-13 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187557",10625,"Dugong dugon","Dugong",,,-11.7,133.851,,,,1995-11-27 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187558",10625,"Dugong dugon","Dugong",,,-11.6075,131.70016,,,,1995-11-30 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187559",10625,"Dugong dugon","Dugong",,,-11.6,132.333333333333,,,,1997-09-23 00:00:00.0,,"Chatto, Ray E",,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187560",10625,"Dugong dugon","Dugong",,,-11.5985,131.79783,,,,1995-11-30 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187570",10625,"Dugong dugon","Dugong",,,-11.41366,131.947,,,,1995-11-30 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187571",10625,"Dugong dugon","Dugong",,,-11.40525793,131.95453363,,,,1993-10-03 00:00:00.0,,"Chatto, Ray E",,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187572",10625,"Dugong dugon","Dugong",,,-11.39859135,131.94120042,,,,1993-10-03 00:00:00.0,,"Chatto, Ray E",,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187573",10625,"Dugong dugon","Dugong",,,-11.35966,131.70166,,,,1995-11-30 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
"187574",10625,"Dugong dugon","Dugong",,,-11.3445,130.60016,,,,1995-11-30 00:00:00.0,,,,,"Miscellaneous Fauna Data","All internal and external fauna data and datasets that have been submitted too, and is managed by the Department of Environment and Natural Resources","Chatto Obs","Ray Chatto's Database","NT",,"(not listed)",,"1",0,1,"1","Native to the N.T.",
