Scientific Name,Common Name,Location Name,Lat,Lon,EPSG Code,Date
Dugong dugon,Dugong,GPS LOCATION,-13.860849,136.406016,"WGS 84, Lat/Lon",20-Mar-16
Dugong dugon,Dugong,GPS LOCATION,-12.8864,130.336334,"WGS 84, Lat/Lon",23-Apr-16
Dugong dugon,Dugong,GPS LOCATION,-12.555566,130.516346,"WGS 84, Lat/Lon",17-Jul-16
Dugong dugon,Dugong,GPS LOCATION,-12.44993,130.817838,"WGS 84, Lat/Lon",27-Sep-16
Dugong dugon,Dugong,GPS LOCATION,-12.46502,130.7767,"WGS 84, Lat/Lon",3-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.55351,130.50929,"WGS 84, Lat/Lon",6-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.5527,130.50876,"WGS 84, Lat/Lon",6-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.55848,130.50322,"WGS 84, Lat/Lon",7-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.55926,130.50117,"WGS 84, Lat/Lon",7-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.40707,130.81033,"WGS 84, Lat/Lon",10-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.47097,130.77237,"WGS 84, Lat/Lon",10-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.39863,130.81863,"WGS 84, Lat/Lon",17-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.46661,130.77084,"WGS 84, Lat/Lon",17-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.44601,130.81992,"WGS 84, Lat/Lon",17-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.45193,130.81839,"WGS 84, Lat/Lon",17-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.4399,130.826699,"WGS 84, Lat/Lon",19-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.4292,130.8314,"WGS 84, Lat/Lon",19-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.4722,130.7718,"WGS 84, Lat/Lon",19-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.5532,130.50334,"WGS 84, Lat/Lon",13-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.57538,130.5576,"WGS 84, Lat/Lon",13-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.55746,130.501309,"WGS 84, Lat/Lon",13-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.63315,130.53992,"WGS 84, Lat/Lon",14-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.55596,130.50514,"WGS 84, Lat/Lon",14-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.55762,130.50349,"WGS 84, Lat/Lon",14-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.57133,130.484479,"WGS 84, Lat/Lon",14-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.57429,130.48167,"WGS 84, Lat/Lon",14-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.56258,130.48518,"WGS 84, Lat/Lon",20-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.55638,130.6227,"WGS 84, Lat/Lon",20-Oct-16
Dugong dugon,Dugong,GPS LOCATION,-12.55895,130.50267,"WGS 84, Lat/Lon",21-Oct-16
