gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1838376765	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/11071486	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	MZ		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-26.18461	32.948432	29891.0						2015-07-03T02:00Z	3	7	2015	9369555	9369555	HUMAN_OBSERVATION	iNaturalist	Observations	11071486			CC_BY_NC_4_0	Wynand Uys	Wynand Uys			2018-04-23T17:40Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1838376696	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/11071296	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	MZ		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-26.03954	32.938017	29891.0						2015-07-01T02:00Z	1	7	2015	9369555	9369555	HUMAN_OBSERVATION	iNaturalist	Observations	11071296			CC_BY_NC_4_0	Wynand Uys	Wynand Uys			2018-04-23T17:40Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1836684471	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5930180	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-23.178015	113.620187	30217.0						2017-04-23T21:11Z	23	4	2017	9369555	9369555	HUMAN_OBSERVATION	iNaturalist	Observations	5930180			CC_BY_NC_4_0	rog_	rog_			2018-03-26T16:38Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1830828125	667455a8-428b-408c-8398-1f21522ff890	1fa31212-f8bf-11e6-afd7-70e2840fc270	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	JP		4fd82480-ea1c-11da-8db4-b8a03c50a862									1987-01-04T01:00Z	4	1	1987	9369555	9369555	PRESERVED_SPECIMEN	RUMF	ZZ	RUMF-ZZ-00121			CC_BY_NC_4_0					2018-03-07T09:20Z		
1830827592	667455a8-428b-408c-8398-1f21522ff890	1f98417a-f8bf-11e6-8c08-70e2840fc270	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	JP		4fd82480-ea1c-11da-8db4-b8a03c50a862									1965-10-25T01:00Z	25	10	1965	9369555	9369555	PRESERVED_SPECIMEN	RUMF	ZZ	RUMF-ZZ-00047			CC_BY_NC_4_0					2018-03-07T09:20Z		
1830827579	667455a8-428b-408c-8398-1f21522ff890	1f9814ac-f8bf-11e6-b591-70e2840fc270	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	JP		4fd82480-ea1c-11da-8db4-b8a03c50a862									1965-10-25T01:00Z	25	10	1965	9369555	9369555	PRESERVED_SPECIMEN	RUMF	ZZ	RUMF-ZZ-00046			CC_BY_NC_4_0					2018-03-07T09:20Z		
1829949291	95f132fe-f762-11e1-a439-00145eb45e9a	296292ec-97dd-4d45-9bab-131361660107	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	PW		4fd82480-ea1c-11da-8db4-b8a03c50a862													9369555	9369555	PRESERVED_SPECIMEN	KPM	NF1	KPM-NF1005583			CC_BY_4_0					2018-03-07T06:21Z		
1829112208	01d9098d-7dec-4235-b783-c537478cd4c2	T150_1_13265	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	YT		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	-13.07108	45.13836	5000.0						2004-08-28T02:00Z	28	8	2004	9369555	9369555	UNKNOWN						CC_BY_NC_4_0					2018-03-06T15:04Z		GEODETIC_DATUM_ASSUMED_WGS84
1829112207	01d9098d-7dec-4235-b783-c537478cd4c2	T150_1_4357	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	NC		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	-21.47753	165.04827	5000.0						2012-06-29T02:00Z	29	6	2012	9369555	9369555	UNKNOWN						CC_BY_NC_4_0					2018-03-06T15:04Z		GEODETIC_DATUM_ASSUMED_WGS84
1829112106	01d9098d-7dec-4235-b783-c537478cd4c2	T150_1_908	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	NC		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	-20.57397	164.95202	5000.0						2008-01-21T01:00Z	21	1	2008	9369555	9369555	UNKNOWN						CC_BY_NC_4_0					2018-03-06T15:04Z		GEODETIC_DATUM_ASSUMED_WGS84
1829112085	01d9098d-7dec-4235-b783-c537478cd4c2	T150_1_16190	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	NC		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	-21.38713	165.14471	5000.0						2014-02-13T01:00Z	13	2	2014	9369555	9369555	UNKNOWN						CC_BY_NC_4_0					2018-03-06T15:04Z		GEODETIC_DATUM_ASSUMED_WGS84
1829112059	01d9098d-7dec-4235-b783-c537478cd4c2	T150_1_16750	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	NC		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	-20.3021	164.47321	5000.0						2012-02-01T01:00Z	1	2	2012	9369555	9369555	UNKNOWN						CC_BY_NC_4_0					2018-03-06T15:04Z		GEODETIC_DATUM_ASSUMED_WGS84
1829111959	01d9098d-7dec-4235-b783-c537478cd4c2	T150_1_14657	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	NC		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	-20.30053	164.09011	5000.0						2014-11-11T01:00Z	11	11	2014	9369555	9369555	UNKNOWN						CC_BY_NC_4_0					2018-03-06T15:04Z		GEODETIC_DATUM_ASSUMED_WGS84
1829111941	01d9098d-7dec-4235-b783-c537478cd4c2	T150_1_3130	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	NC		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	-20.84424	164.47134	5000.0						2014-11-21T01:00Z	21	11	2014	9369555	9369555	UNKNOWN						CC_BY_NC_4_0					2018-03-06T15:04Z		GEODETIC_DATUM_ASSUMED_WGS84
1829111939	01d9098d-7dec-4235-b783-c537478cd4c2	T150_1_13209	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	NC		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	-21.83689	165.82252	5000.0						2014-11-27T01:00Z	27	11	2014	9369555	9369555	UNKNOWN						CC_BY_NC_4_0					2018-03-06T15:04Z		GEODETIC_DATUM_ASSUMED_WGS84
1829111937	01d9098d-7dec-4235-b783-c537478cd4c2	T150_1_5236	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	NC		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	-22.55162	166.7991	5000.0						2008-01-07T01:00Z	7	1	2008	9369555	9369555	UNKNOWN						CC_BY_NC_4_0					2018-03-06T15:04Z		GEODETIC_DATUM_ASSUMED_WGS84
1829111912	01d9098d-7dec-4235-b783-c537478cd4c2	T150_1_11507	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	NC		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	-20.20965	163.99493	5000.0						2014-11-11T01:00Z	11	11	2014	9369555	9369555	UNKNOWN						CC_BY_NC_4_0					2018-03-06T15:04Z		GEODETIC_DATUM_ASSUMED_WGS84
1829111909	01d9098d-7dec-4235-b783-c537478cd4c2	T150_1_4638	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	NC		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	-20.30236	164.56899	5000.0						2012-11-23T01:00Z	23	11	2012	9369555	9369555	UNKNOWN						CC_BY_NC_4_0					2018-03-06T15:04Z		GEODETIC_DATUM_ASSUMED_WGS84
1829111885	01d9098d-7dec-4235-b783-c537478cd4c2	T150_1_2204	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	NC		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	-20.66284	164.27997	5000.0						2014-10-27T01:00Z	27	10	2014	9369555	9369555	UNKNOWN						CC_BY_NC_4_0					2018-03-06T15:04Z		GEODETIC_DATUM_ASSUMED_WGS84
1829111883	01d9098d-7dec-4235-b783-c537478cd4c2	T150_1_12901	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	NC		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	-21.65233	166.40126	5000.0						2011-06-17T02:00Z	17	6	2011	9369555	9369555	UNKNOWN						CC_BY_NC_4_0					2018-03-06T15:04Z		GEODETIC_DATUM_ASSUMED_WGS84
1829110216	01d9098d-7dec-4235-b783-c537478cd4c2	T150_1_12147	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	NC		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	-22.37103	166.79677	5000.0						2014-10-28T01:00Z	28	10	2014	9369555	9369555	UNKNOWN						CC_BY_NC_4_0					2018-03-06T15:04Z		GEODETIC_DATUM_ASSUMED_WGS84
1829110087	01d9098d-7dec-4235-b783-c537478cd4c2	T150_1_16161	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	NC		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	-20.57392	164.85608	5000.0						2012-06-18T02:00Z	18	6	2012	9369555	9369555	UNKNOWN						CC_BY_NC_4_0					2018-03-06T15:04Z		GEODETIC_DATUM_ASSUMED_WGS84
1829110059	01d9098d-7dec-4235-b783-c537478cd4c2	T150_1_10147	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	NC		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	-21.29678	164.85538	5000.0						2009-03-06T01:00Z	6	3	2009	9369555	9369555	UNKNOWN						CC_BY_NC_4_0					2018-03-06T15:04Z		GEODETIC_DATUM_ASSUMED_WGS84
